Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
2,12/03/2009,1,09:23,FRANKIE,HEAD,IMG_0002/3,20.39438333,-87.31371667,F,,,
4,12/03/2009,1,09:25,ANGEL,HEAD,IMG_0004,20.3947,-87.31385,R,,,
5,12/03/2009,1,09:25,AMAPOLA,HEAD,IMG_0005,20.3947,-87.31385,R,,,
6,12/03/2009,1,09:34,LIZ,HEAD,IMG_0007/8,20.3942,-87.31383333,F,10,V/H,
7,12/03/2009,1,09:38,ZIGGY,HEAD,IMG_0011,20.39376667,-87.31328333,S,,,
8,12/03/2009,1,09:42,RODDY,HEAD,IMG_0012,20.39445,-87.314,F,,,
11,12/03/2009,2,13:40,UNOMAS,CARAPACE,IMG_0014,20.39388333,-87.3131,S,,,
14,12/03/2009,3,16:30,CRASH,HEAD,IMG_0016,20.39378333,-87.31268333,S,,,
15,12/03/2009,3,16:30,SPLIT,HEAD,IMG_0017,20.39378333,-87.31268333,S,,,
16,12/03/2009,3,16:39,UNOMAS,HEAD,IMG_0018/19,20.39478333,-87.31383333,F,,,
17,12/03/2009,3,16:42,JUANITA,HEAD,IMG_0020,20.39426667,-87.31355,F,1,H,
19,12/03/2009,3,16:58,LIZ,HEAD,IMG_0021,20.39496667,-87.31375,S,,,
25,16/03/2009,1,09:39,UNOMAS,CARAPACE,IMG_0039-41,20.39443333,-87.31411667,F,,,
26,16/03/2009,1,09:39,VEX,CARAPACE,IMG_0040/42/43,20.39443333,-87.31411667,S,,,
27,16/03/2009,1,09:46,BITSY,HEAD,IMG_0044,20.39428333,-87.31375,F,,,
28,16/03/2009,1,09:46,BLACKNOSE,HEAD,IMG_0045,20.39428333,-87.31375,F,,,
32,16/03/2009,3,17:00,SPEEDY GONZALEZ,HEAD,IMG_0048,20.39475,-87.31345,F,,,
33,16/03/2009,3,17:07,ANGEL,HEAD,IMG_0049,20.39453333,-87.31346667,F,,,
37,19/03/2009,1,09:06,ESTRELLA,HEAD,IMG_0041,20.39391667,-87.31261667,S,,,
38,19/03/2009,1,09:15,WOODY,HEAD,IMG_0043/44,20.39526667,-87.31366667,F,,,
40,19/03/2009,1,09:19,UNOMAS,HEAD,IMG_0045/46,20.39475,-87.31361667,F,,,
42,19/03/2009,1,09:39,ANGEL,HEAD,IMG_0050,20.39461667,-87.31398333,S,,,
43,19/03/2009,1,09:45,ASTRO,HEAD,IMG_0051/52,20.395,-87.3142,F,,,
44,19/03/2009,1,09:49,QUE ONDA,HEAD,IMG_0053/54,20.39463333,-87.31436667,S,1,,D
47,19/03/2009,2,13:24,QUE ONDA,HEAD,IMG_0077/78,20.39531667,-87.31365,S,,,
48,19/03/2009,2,13:26,DOT,HEAD,IMG_0079,20.395,-87.31366667,S,6,V,
50,19/03/2009,2,13:30,ZIGGY,HEAD,IMG_0080/81,20.3949,-87.31366667,F,,,
51,19/03/2009,2,13:32,UNOMAS,HEAD,IMG_0082/83,20.39488333,-87.31371667,S,2,,
52,19/03/2009,2,13:35,RATTY,HEAD,IMG_0084,20.3947,-87.3136,F,2,H,C
53,19/03/2009,2,13:48,CHARLIE,HEAD,IMG_0086/87,20.39488333,-87.31413333,S,,,
54,19/03/2009,2,13:48,WOODY,HEAD,IMG_0088,20.39496667,-87.31418333,S,,,
58,19/03/2009,3,16:53,UNOMAS,NOTES,,20.39485,-87.31373333,F,,,
59,19/03/2009,3,16:53,QUE ONDA,NOTES,,20.39485,-87.31373333,F,,,
63,19/03/2009,3,17:07,ROSA,NOTES,,20.3949,-87.31431667,S,,,
67,23/03/2009,1,09:22,AMAPOLA,HEAD,IMG_0077/79,20.3939,-87.3139,F,,,
68,23/03/2009,1,09:31,QUE ONDA,HEAD,IMG_0080/81,20.3946,-87.31406667,F,,,
69,23/03/2009,1,09:34,JACK,HEAD,IMG_0082,20.3944,-87.31403333,F,,,
70,23/03/2009,1,09:34,ESTRELLA,HEAD,IMG_0083,20.3944,-87.31403333,F,,,
73,23/03/2009,1,09:43,VEX,HEAD,IMG_0084,20.39405,-87.31416667,F,,,
