Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
1,12/03/2009,1,09:20,,,,20.39408333,-87.31345,S,,,
3,12/03/2009,1,09:25,,,,20.39466667,-87.31385,F,,,
9,12/03/2009,1,09:42,,,,20.39445,-87.314,S,,,
10,12/03/2009,2,13:22,,,,20.39528333,-87.31316667,S,,,
12,12/03/2009,2,13:52,,,,20.39461667,-87.31458333,S,,,
13,12/03/2009,2,14:08,,,,20.39411667,-87.31486667,S,,,
18,12/03/2009,3,16:47,,,,20.39401667,-87.31353333,S,,,
20,16/03/2009,1,09:12,,,,20.39513333,-87.31358333,S,,,
21,16/03/2009,1,09:23,,,,20.39428333,-87.31363333,F,6,H,
22,16/03/2009,1,09:23,,,,20.39428333,-87.31363333,S,,,
23,16/03/2009,1,09:38,,,IMG_0038,20.39471667,-87.31371667,S,,,
24,16/03/2009,1,09:37,,,,20.3945,-87.314,F,,,
29,16/03/2009,2,13:35,,,,20.39503333,-87.31413333,F,,,
30,16/03/2009,2,13:44,,,,20.39415,-87.31408333,F,,,
31,16/03/2009,2,13:45,,,,20.39415,-87.31408333,F,,,
34,16/03/2009,3,17:07,,,,20.39453333,-87.31346667,F,,,
35,16/03/2009,3,17:07,,,,20.39453333,-87.31346667,F,,,
36,16/03/2009,3,17:31,,,,20.39458333,-87.31428333,S,,,
39,19/03/2009,1,09:15,,,,20.39526667,-87.31366667,S,,,
41,19/03/2009,1,09:34,,,,20.39416667,-87.3135,F,64,H/V,C
45,19/03/2009,1,09:55,,,,20.39403333,-87.31436667,F,17,V,
46,19/03/2009,2,13:19,,,,20.39411667,-87.31263333,S,,,
49,19/03/2009,2,13:28,,,,20.395,-87.31366667,S,6,V,
55,19/03/2009,3,16:41,,,,20.39491667,-87.31311667,S,,,
56,19/03/2009,3,16:47,,,,20.39435,-87.31326667,S,,,
57,19/03/2009,3,16:49,,,,20.39483333,-87.31355,S,,,
60,19/03/2009,3,16:56,,,,20.3947,-87.31376667,F,,,
61,19/03/2009,3,17:00,,,,20.39436667,-87.31363333,S,,,
62,19/03/2009,3,17:02,,,,20.3944,-87.31371667,S,,,
64,19/03/2009,3,17:14,,,,20.3941,-87.3145,S,,,
65,23/03/2009,1,09:01,,,,20.39545,-87.31303333,F,,,
66,23/03/2009,1,09:07,,,,20.39393333,-87.31255,R,,,
71,23/03/2009,1,09:34,,,,20.3944,-87.31403333,F,,,
72,23/03/2009,1,09:42,,,,20.39396667,-87.31421667,S,,,
88,30/03/2009,2,13:30,,,,20.39478333,-87.31415,F,,,
89,30/03/2009,2,13:37,,,,20.39416667,-87.3142,F,6,V,
90,30/03/2009,3,16:48,,,IMG_0112/13,20.3938,-87.31256667,S,,,
91,30/03/2009,3,16:52,,,IMG_0114/15,20.39395,-87.31283333,S,,,
98,06/04/2009,1,09:22,,,,20.39476667,-87.31321667,S,,,
106,06/04/2009,2,13:42,,,,20.39461667,-87.31438333,S,,,
107,06/04/2009,3,17:00,,,,20.39451667,-87.3127,S,,,
108,06/04/2009,3,17:00,,,,20.39451667,-87.3127,S,,,
109,06/04/2009,3,17:11,,,,20.39483333,-87.31358333,S,,,
111,06/04/2009,3,17:18,,,,20.3946,-87.31365,S,,,
114,06/04/2009,3,17:42,,,,20.39478333,-87.31418333,S,2,H,
118,09/04/2009,1,09:44,,,,20.39486667,-87.31315,S,,,
119,09/04/2009,1,10:04,,,,20.39413333,-87.3137,F,,,
121,09/04/2009,1,10:20,,,,20.39418333,-87.31481667,S,2,,C
124,09/04/2009,3,16:48,,,,20.39428333,-87.31323333,S,,,
125,09/04/2009,3,16:52,,,,20.39426667,-87.31353333,F,,,
126,09/04/2009,3,17:02,,,,20.39401667,-87.3136,F,,,
128,16/04/2009,1,09:13,,,,20.39516667,-87.31343333,S,,,
134,16/04/2009,1,09:34,,,,20.39516667,-87.31431667,S,,,
136,16/04/2009,1,09:45,,,,20.39413333,-87.31353333,F,20,V,
139,16/04/2009,2,13:44,,,,20.39465,-87.31461667,S,,,
151,20/04/2009,1,09:42,,,,20.39523333,-87.31385,F,,,
156,20/04/2009,1,09:50,,,,20.3948,-87.31416667,F,,,
157,20/04/2009,1,09:53,,,,20.39461667,-87.3142,S,,,
158,20/04/2009,1,09:53,,,,20.39461667,-87.3142,S,,,
160,20/04/2009,1,10:11,,,,20.39486667,-87.31443333,S,,,
171,20/04/2009,3,16:27,,,,20.39433333,-87.31345,S,,,
209,30/04/2009,1,09:35,,,,20.39526667,-87.31418333,S,,,
217,30/04/2009,1,10:00,,,,20.39496667,-87.31428333,F,,,
239,04/05/2009,1,09:24,,,,20.39416667,-87.31333333,S,,,
240,04/05/2009,1,09:34,,,,20.39481667,-87.3141,S,,,
252,04/05/2009,3,16:28,,,,20.39505,-87.31338333,S,,,
254,04/05/2009,3,17:03,,,,20.39425,-87.31346667,S,,,
266,07/05/2009,1,09:30,,,,20.39411667,-87.31331667,S,,,
267,07/05/2009,1,09:41,,,,20.39448333,-87.31385,S,,,
275,07/05/2009,2,13:25,,,IMG_0241/42,20.39548333,-87.31426667,S,,,
312,11/05/2009,2,13:39,,,,20.39458333,-87.31441667,F,,,
323,11/05/2009,3,17:27,,,,20.39396667,-87.31395,F,,,
324,11/05/2009,3,17:29,,,,20.39413333,-87.31405,S,,,
325,11/05/2009,3,17:33,,,,20.39498333,-87.3145,F,,,
339,14/05/2009,1,10:09,,,,20.39516667,-87.31436667,R,,,
344,14/05/2009,2,12:58,,,,20.39518333,-87.31356667,S,,,
349,14/05/2009,3,16:47,,,,20.39523333,-87.31308333,S,,,
350,14/05/2009,3,16:57,,,,20.39511667,-87.31335,F,,,
351,14/05/2009,3,17:01,,,,20.39501667,-87.31366667,R,,,
352,14/05/2009,3,17:06,,,,20.39383333,-87.3129,S,,,
353,14/05/2009,3,17:09,,,,20.39415,-87.3134,S,,,
